"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
Sri Lanka,663131,,16502.0,,642574.0,,4055.0,,30735.0,765.0,6486117.0,300620.0,21575813.0,Asia
Paraguay,649034,,18795.0,,624673.0,,5566.0,5.0,89017.0,2578.0,2623300.0,359792.0,7291158.0,South America
Kuwait,631294,,2555.0,,627899.0,,840.0,8.0,143970.0,583.0,7999656.0,1824362.0,4384906.0,Asia
Myanmar,612749,16,19434.0,,591633.0,24,1682.0,,11127.0,353.0,7898754.0,143431.0,55070229.0,Asia
Palestine,581940,124,5353.0,,576242.0,343,345.0,17.0,109469.0,1007.0,3078533.0,579104.0,5316030.0,Asia
Dominican Republic,579114,160,4376.0,,574446.0,149,292.0,14.0,52433.0,396.0,3265645.0,295671.0,11044867.0,North America
Estonia,570257,181,2531.0,,507474.0,763,60252.0,7.0,429362.0,1906.0,3311935.0,2493645.0,1328150.0,Europe
Bahrain,566272,442,1475.0,,561221.0,426,3576.0,2.0,313105.0,816.0,9699812.0,5363246.0,1808571.0,Asia
Venezuela,522176,55,5706.0,1,515463.0,158,1007.0,230.0,18458.0,202.0,3359014.0,118735.0,28290073.0,South America
Moldova,516986,,11489.0,,504142.0,,1355.0,49.0,128700.0,2860.0,3216305.0,800676.0,4016989.0,Europe
Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4872.0,233.0,3693367.0,34900.0,105828037.0,Africa
Libya,501862,,6429.0,,490900.0,,4533.0,101.0,71283.0,913.0,2476960.0,351818.0,7040449.0,Africa
Cyprus,470481,,1011.0,,124370.0,,345100.0,60.0,384608.0,826.0,9477138.0,7747361.0,1223273.0,Asia
Ethiopia,470434,17,7510.0,,454967.0,,7957.0,15.0,3916.0,63.0,4765964.0,39678.0,120116835.0,Africa
Mongolia,469580,30,2177.0,,313256.0,,154147.0,192.0,139182.0,645.0,4030048.0,1194492.0,3373858.0,Asia
Armenia,422825,3,8622.0,,410558.0,10,3645.0,,142209.0,2900.0,3035104.0,1020796.0,2973271.0,Asia
Honduras,422275,,10892.0,,131100.0,,280283.0,105.0,41441.0,1069.0,1263329.0,123980.0,10189775.0,North America
Oman,389053,17,4257.0,,384145.0,90,651.0,2.0,72834.0,797.0,25000000.0,4680204.0,5341647.0,Asia
Bosnia and Herzegovina,376764,65,15758.0,2,192218.0,,168788.0,,116146.0,4858.0,1752716.0,540315.0,3243877.0,Europe
Réunion,374295,,742.0,,355605.0,,17948.0,10.0,412728.0,818.0,1603660.0,1768325.0,906881.0,Africa
Qatar,364187,98,677.0,,362674.0,106,836.0,2.0,129705.0,241.0,3426179.0,1220234.0,2807805.0,Asia
